Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGAstd;10;485_analcatdata_vehicle.tsv;0,0349937638235934;0,713509388690462;00:16:10.0250000;231166;9;2;48;5;14;8;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,896428757200734;0,708970741899158;00:16:10.0250000;344366;10;3;48;5;14;8;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,977232361230178;0,705211209206627;00:16:10.0250000;203266;11;4;48;5;12;8;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,872518099365977;0,685699280108035;00:16:10.0250000;276766;10;5;48;5;14;9;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,755321456775226;0,725582052985402;00:16:10.0250000;217766;10;6;48;5;14;8;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,99873516357972;0,68831778942188;00:16:10.0250000;223566;11;7;48;5;14;8;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,956613373477905;0,708054503347998;00:16:10.0250000;213466;12;8;48;5;14;8;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,287608230519945;0,708314487569321;00:16:10.0250000;204466;9;9;48;5;14;9;-1
OSGAstd;10;505_tecator.tsv;0,996043522473384;0,992447903500091;00:21:20.5070000;209766;24;0;240;125;9;5;-1
OSGAstd;10;505_tecator.tsv;0,987451154801365;0,99358078300472;00:21:20.5070000;213066;16;1;240;125;10;6;-1
OSGAstd;10;505_tecator.tsv;0,992058549686556;0,993299998920805;00:21:20.5070000;209066;17;2;240;125;14;8;-1
OSGAstd;10;505_tecator.tsv;0,993053465907185;0,992971045662864;00:21:20.5070000;227966;19;3;240;125;10;6;-1
OSGAstd;10;505_tecator.tsv;0,993307749540816;0,993034651832964;00:21:20.5070000;231166;16;4;240;125;12;7;-1
OSGAstd;10;505_tecator.tsv;0,995534485643952;0,992646933506508;00:21:20.5070000;211466;13;5;240;125;12;8;-1
OSGAstd;10;505_tecator.tsv;0,994492542218778;0,992685548745094;00:21:20.5070000;234866;14;6;240;125;9;5;-1
OSGAstd;10;505_tecator.tsv;0,990531502173599;0,993221808968938;00:21:20.5070000;204166;20;7;240;125;9;6;-1
OSGAstd;10;505_tecator.tsv;0,986854540745441;0,993622992142179;00:21:20.5070000;200366;17;8;240;125;14;8;-1
OSGAstd;10;505_tecator.tsv;0,991766243690912;0,993100224159911;00:21:20.5070000;202166;30;9;240;125;9;6;-1
OSGAstd;10;519_vinnie.tsv;0,751202207220063;0,756151865246031;00:31:26.6050000;298366;16;0;380;3;14;8;-1
OSGAstd;10;519_vinnie.tsv;0,789899573152834;0,756432366903111;00:31:26.6050000;204566;20;1;380;3;14;8;-1
OSGAstd;10;519_vinnie.tsv;0,739530706590939;0,76153614967324;00:31:26.6050000;205266;21;2;380;3;14;8;-1
OSGAstd;10;519_vinnie.tsv;0,820542586838522;0,750565873198388;00:31:26.6050000;202266;18;3;380;3;14;8;-1
OSGAstd;10;519_vinnie.tsv;0,627785610601999;0,772374148316993;00:31:26.6050000;213266;16;4;380;3;14;10;-1
OSGAstd;10;519_vinnie.tsv;0,804707814197451;0,753987479043459;00:31:26.6050000;211166;18;5;380;3;12;7;-1
OSGAstd;10;519_vinnie.tsv;0,789082840245759;0,754951030800802;00:31:26.6050000;201466;17;6;380;3;14;9;-1
OSGAstd;10;519_vinnie.tsv;0,774262815122434;0,752975997121585;00:31:26.6050000;227566;13;7;380;3;14;9;-1
OSGAstd;10;519_vinnie.tsv;0,600953176916808;0,775258313525946;00:31:26.6050000;239466;15;8;380;3;14;9;-1
